Title,Author,ISBN,Circulation,Library,Branch,Code,Variable,Total_2010,Total_2011,Total_2013,Total_2012,Total_2015,Total_2014,Total_2017,Total_2016,year,value
Dunkirk,NA,883929570713,111,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Panther,NA,9786317233195,104,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The greatest showman,NA,024543327912,93,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blade runner 2049,NA,883929571888,89,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,86,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three billboards outside Ebbing, Missouri",NA,024543416319,82,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garfield listens to his gut : his 62nd book,"Davis, Jim, 1945 July 28- author, illustrator.",9780425285572,80,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coco,NA,786936856255,80,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star wars, the last jedi.",NA,786936856996,79,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Post,NA,024543470854,79,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thor. Ragnarok,NA,786936855906,77,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People 2018.,NA,NA,74,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonder,NA,031398259282,71,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garfield cooks up trouble,"Davis, Jim, 1945 July 28- author, illustrator.",9780425285626,70,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jumanji. Welcome to the jungle / Columbia Pictures presents ; a Matt Tolmach,NA,043396488526,69,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darkest hour,NA,025192396717,68,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ready player one,NA,883929621422,68,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solo : a Star Wars story,NA,786936859133,65,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice League,NA,883929572045,63,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean's 8,NA,883929623099,62,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Times Magazine 2018.,NA,NA,60,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,60,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red sparrow,NA,024543418009,60,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avengers: infinity war,NA,786936856910,60,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Pups save the bunnies,NA,110193168X,59,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paw patrol on the roll!,NA,1101938676,57,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Battle of the sexes,NA,024543330370,56,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murder on the Orient Express,NA,024543393979,56,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Yorker 2018.,NA,NA,55,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A wrinkle in time,NA,786936856392,55,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garfield thinks big,"Davis, Jim, 1945 July 28- author, artist.",9780425285169,54,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
We love friendship day!,"Stokes, Michael E., author of teleplay.",9780399558771,54,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I, Tonya",NA,9786317175082,54,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
