P00M,Name of Library,Arlington Hills Branch Library
P00Mb,Reg./Sequence Number,M0803
P01M,Population of the Legal Service Area,"27,323"
P02aM,Registered Borrowers - Residents,"13,483"
P02bM,Registered Borrowers - Reciprocal,"1,025"
P02cM,Total Registered Borrowers (Manually Input),"14,508"
P04M,Library Visits,"101,417"
P05M,Actual Tally/Sample,Actual
P06M,Reference Transactions,"5,096"
P07M,Actual Tally/Sample,Sample
P08M,Stations,0
P09M,Users of Public Internet Computers,"20,677"
P10M,Actual Tally/Sample,Actual
P11M,Users of Public Internet Computers Universe,Provides other computer usage in addition to Internet
P15M,Children's Circulation,"34,801"
P16M,Children's Library Programs,117
P17M,Children's Program Attendance,"2,336"
P18M,Yound Adult Library Programs,27
P19M,Young Adult Program Attendance,532
P20M,Adult Circulation,"32,713"
P21M,Adult Library Programs,96
P22M,Adult Program Attendance,898
P23M,Other Circulation,0
P24M,Total Circulation,"67,514"
P00M,Name of Library,Dayton's Bluff Branch Library
P00Mb,Reg./Sequence Number,M0814
P01M,Population of the Legal Service Area,"14,833"
P02aM,Registered Borrowers - Residents,"8,229"
P02bM,Registered Borrowers - Reciprocal,"2,442"
P02cM,Total Registered Borrowers (Manually Input),"10,671"
P04M,Library Visits,"140,339"
P05M,Actual Tally/Sample,Actual
P06M,Reference Transactions,"37,882"
P07M,Actual Tally/Sample,Sample
P08M,Stations,0
P09M,Users of Public Internet Computers,"23,389"
P10M,Actual Tally/Sample,Actual
P11M,Users of Public Internet Computers Universe,Provides other computer usage in addition to Internet
P15M,Children's Circulation,"40,089"
P16M,Children's Library Programs,208
P17M,Children's Program Attendance,"6,482"
P18M,Yound Adult Library Programs,20
P19M,Young Adult Program Attendance,370
P20M,Adult Circulation,"46,290"
P21M,Adult Library Programs,133
P22M,Adult Program Attendance,"1,393"
P23M,Other Circulation,0
P24M,Total Circulation,"86,379"
P00M,Name of Library,Hamline Midway Branch Library
P00Mb,Reg./Sequence Number,M0805
P01M,Population of the Legal Service Area,"16,122"
P02aM,Registered Borrowers - Residents,"8,595"
P02bM,Registered Borrowers - Reciprocal,"1,389"
P02cM,Total Registered Borrowers (Manually Input),"9,984"
P04M,Library Visits,"115,142"
P05M,Actual Tally/Sample,Actual
P06M,Reference Transactions,"11,908"
P07M,Actual Tally/Sample,Sample
P08M,Stations,0
P09M,Users of Public Internet Computers,"18,106"
P10M,Actual Tally/Sample,Actual
P11M,Users of Public Internet Computers Universe,Provides other computer usage in addition to Internet
P15M,Children's Circulation,"53,163"
P16M,Children's Library Programs,117
P17M,Children's Program Attendance,"2,845"
P18M,Yound Adult Library Programs,8
P19M,Young Adult Program Attendance,169
P20M,Adult Circulation,"60,774"
P21M,Adult Library Programs,75
P22M,Adult Program Attendance,910
P23M,Other Circulation,0
P24M,Total Circulation,"113,937"
P00M,Name of Library,Hayden Heights Branch Library
P00Mb,Reg./Sequence Number,M0806
P01M,Population of the Legal Service Area,"28,050"
P02aM,Registered Borrowers - Residents,"18,017"
P02bM,Registered Borrowers - Reciprocal,"4,720"
P02cM,Total Registered Borrowers (Manually Input),"22,737"
P04M,Library Visits,"109,641"
P05M,Actual Tally/Sample,Actual
P06M,Reference Transactions,"18,668"
P07M,Actual Tally/Sample,Sample
P08M,Stations,0
P09M,Users of Public Internet Computers,"22,490"
P10M,Actual Tally/Sample,Actual
P11M,Users of Public Internet Computers Universe,Provides other computer usage in addition to Internet
P15M,Children's Circulation,"61,576"
P16M,Children's Library Programs,97
P17M,Children's Program Attendance,"2,036"
P18M,Yound Adult Library Programs,13
P19M,Young Adult Program Attendance,401
P20M,Adult Circulation,"66,976"
