variable,year,total
items in our collection,2002,1041284
items loaned,2002,2692526
library agencies,2002,13
hours open weekly system wide,2002,675
full time equiv staff,2002,179.6
public computers,2002,NA
computer users,2002,228874
in person visits,2002,1909327
web site visits,2002,NA
mobile app visits,2002,NA
total visits,2002,1909327
children and teen programs,2002,1945
attendance at children and teen programs,2002,66068
total wireless sessions,2002,NA
card holders,2002,NA
active card holders,2002,NA
homework center visits,2002,1630
summer reading program readers,2002,NA
summer reading attendance,2002,22486
adult programs,2002,2072
attendance at adult programs,2002,37015
information inquiries to staff,2002,402610
items in our collection,2003,1088824
items loaned,2003,3054506
library agencies,2003,13
hours open weekly system wide,2003,683
full time equiv staff,2003,175.3
public computers,2003,213
computer users,2003,287149
in person visits,2003,2027073
web site visits,2003,739471
mobile app visits,2003,NA
total visits,2003,2766544
children and teen programs,2003,2281
attendance at children and teen programs,2003,NA
total wireless sessions,2003,NA
card holders,2003,NA
active card holders,2003,NA
homework center visits,2003,5292
summer reading program readers,2003,NA
summer reading attendance,2003,18978
adult programs,2003,1899
attendance at adult programs,2003,35761
information inquiries to staff,2003,459524
items in our collection,2004,1012824
items loaned,2004,3223183
library agencies,2004,14
hours open weekly system wide,2004,723
full time equiv staff,2004,185
public computers,2004,250
computer users,2004,327166
in person visits,2004,2254335
web site visits,2004,875959
mobile app visits,2004,NA
total visits,2004,3130294
children and teen programs,2004,2005
attendance at children and teen programs,2004,NA
total wireless sessions,2004,NA
card holders,2004,NA
active card holders,2004,NA
homework center visits,2004,7243
summer reading program readers,2004,NA
summer reading attendance,2004,18765
adult programs,2004,2449
attendance at adult programs,2004,41801
information inquiries to staff,2004,493116
items in our collection,2005,1133528
items loaned,2005,3322958
library agencies,2005,14
hours open weekly system wide,2005,730
full time equiv staff,2005,179.8
public computers,2005,259
computer users,2005,353416
in person visits,2005,2330830
web site visits,2005,862490
mobile app visits,2005,NA
total visits,2005,3193320
children and teen programs,2005,2127
attendance at children and teen programs,2005,NA
total wireless sessions,2005,NA
card holders,2005,NA
active card holders,2005,NA
homework center visits,2005,13255
summer reading program readers,2005,NA
summer reading attendance,2005,15558
adult programs,2005,2173
attendance at adult programs,2005,37454
information inquiries to staff,2005,NA
items in our collection,2006,1144567
items loaned,2006,3399794
library agencies,2006,14
hours open weekly system wide,2006,730
full time equiv staff,2006,189.3
public computers,2006,298
computer users,2006,384499
in person visits,2006,2523234
web site visits,2006,1061571
mobile app visits,2006,NA
total visits,2006,3584805
