Branch,Code,Variable,year,value
Arlington Hills,C01M,Print Materials,2010,18927
Arlington Hills,C02M,Audio Materials,2010,1967
Arlington Hills,C03M,Video Materials,2010,3894
Arlington Hills,C04M,Multi-format Materials,2010,24
Arlington Hills,C05M,Other Physical Materials,2010,94
Arlington Hills,C06M,Total Materials (Manually Input),2010,24906
Arlington Hills,C07M,Print Serial Subscriptions,2010,43
Arlington Hills,P01M,Population of the Legal Service Area,2010,27323
Arlington Hills,P02aM,Registered Borrowers - Residents,2010,13483
Arlington Hills,P02bM,Registered Borrowers - Reciprocal,2010,1025
Arlington Hills,P02cM,Total Registered Borrowers/Users,2010,14508
Arlington Hills,P04M,Library Visits,2010,101417
Arlington Hills,P06M,Reference Transactions,2010,5096
Arlington Hills,P08M,Stations,2010,0
Arlington Hills,P09M,Annual Public Internet Computer Sessions,2010,20677
Arlington Hills,P15M,Wireless Sessions,2010,NA
Arlington Hills,P16M,Children's Circulation,2010,34801
Arlington Hills,P17M,Children's Library Programs,2010,117
Arlington Hills,P18M,Children's Program Attendance,2010,2336
Arlington Hills,P19M,Young Adult Library Programs,2010,27
Arlington Hills,P20M,Young Adult Program Attendance,2010,532
Arlington Hills,P21M,Adult Circulation,2010,32713
Arlington Hills,P22M,Adult Library Programs,2010,96
Arlington Hills,P23M,Adult Program Attendance,2010,898
Arlington Hills,P24M,Other Circulation,2010,0
Arlington Hills,P25M,Total Circulation (Manually Input),2010,67514
Arlington Hills,P26M,Total Programs (Manually Input),2010,NA
Dayton's Bluff,P01M,Population of the Legal Service Area,2010,14833
Dayton's Bluff,P02aM,Registered Borrowers - Residents,2010,8229
Dayton's Bluff,P02bM,Registered Borrowers - Reciprocal,2010,2442
Dayton's Bluff,P02cM,Total Registered Borrowers,2010,10671
Dayton's Bluff,P04M,Library Visits,2010,140339
Dayton's Bluff,P06M,Reference Transactions,2010,37882
Dayton's Bluff,P08M,Stations,2010,0
Dayton's Bluff,P09M,Annual Public Internet Computer Sessions,2010,23389
Dayton's Bluff,NA,Wireless Sessions,2010,NA
Dayton's Bluff,P15M,Children's Circulation,2010,40089
Dayton's Bluff,P16M,Children's Library Programs,2010,208
Dayton's Bluff,P17M,Children's Program Attendance,2010,6482
Dayton's Bluff,P18M,Young Adult Library Programs,2010,20
Dayton's Bluff,P19M,Young Adult Program Attendance,2010,370
Dayton's Bluff,P20M,Adult Circulation,2010,46290
Dayton's Bluff,P21M,Adult Library Programs,2010,133
Dayton's Bluff,P22M,Adult Program Attendance,2010,1393
Dayton's Bluff,P23M,Other Circulation,2010,0
Dayton's Bluff,P24M,Total Circulation (Manually Input),2010,86379
Dayton's Bluff,P25M,Total Programs (Manually Input),2010,NA
Dayton's Bluff,P26M,Total Attendance (Manually Input),2010,NA
Dayton's Bluff,C01M,Print Materials,2010,27608
Dayton's Bluff,C02M,Audio Materials,2010,3281
Dayton's Bluff,C03M,Video Materials,2010,5933
Dayton's Bluff,C04M,Multi-format Materials,2010,21
Dayton's Bluff,C05M,Other Physical Materials,2010,94
Dayton's Bluff,C06M,Total Materials (Manually Input),2010,36937
